no,len2
21,19.14
21,19.08
21,19.04
21,18.93
21,18.69
21,18.65
21,18.55
21,18.52
21,18.37
21,18.33
21,18.31
21,18.2
21,17.98
21,17.94
21,17.65
21,17.65
21,17.6
21,17.5
21,17.07
21,16.67
21,16.37
22,28.16
22,27.567
22,27.429
22,26.929
22,26.381
22,26.366
22,25.768
22,25.588
22,25.404
22,25.308
22,25.088
22,24.32
22,23.987
22,23.792
22,23.49
22,23.237
22,22.999
22,22.637
22,22.406
22,22.227
22,22.187
22,22.187
22,21.562
22,21.452
22,21.347
22,21.309
22,20.319
22,20.095
22,19.742
22,19.649
22,19.529
22,19.431
22,19.114
22,18.78
22,18.12
22,18.11
22,18.06
22,17.98
22,17.96
22,17.77
22,17.75
22,17.69
22,17.55
22,17.34
22,17.31
22,16.84
23,27.91
23,27.46
23,26.58
23,26.57
23,25.88
23,25.68
23,25.62
23,25.6
23,25.51
23,25.16
23,25.02
23,24.94
23,24.51
23,24.48
23,23.53
23,23.52
23,23.1
23,22.78
23,22.73
23,22.69
23,22.52
23,22.28
23,22.28
23,22.18
23,21.88
23,21.79
23,21.46
23,21.39
23,21.14
23,21.13
23,21.05
23,21.02
23,20.83
23,20.83
23,20.83
23,20.7
23,20.42
23,20.36
23,19.4
23,19.31
23,19.08
23,19.04
23,19.01
23,18.76
23,18.76
23,18.27
23,18.18
23,18.08
23,17.97
23,17.95
23,17.94
23,17.94
23,17.79
23,17.2
24,28.22
24,27.95
24,27.94
24,27.74
24,27.56
24,27.55
24,27.01
24,25.95
24,25.95
24,25.38
24,25.13
24,24.79
24,24.65
24,23.89
24,23.68
24,23.57
24,23.39
24,23.28
24,23.08
24,23.04
24,22.66
24,22.66
24,22.29
24,22.23
24,22.05
24,22.02
24,21.8
24,21.71
24,21.54
24,20.97
24,20.93
24,20.74
24,20.72
24,20.62
24,20.62
24,20.3
24,20.17
24,20.07
24,19.91
24,19.77
24,19.48
24,19.23
24,19.06
24,18.98
24,18.96
24,18.84
24,18.79
24,18.78
24,18.78
24,18.73
24,18.71
24,18.68
24,18.61
24,18.57
24,18.17
24,18.09
24,18.05
24,17.95
24,17.88
24,17.78
24,17.73
24,17.65
24,17.51
24,17.42
24,17.28
24,17.2
24,17.06
25,28.94
25,28.56
25,28.56
25,28.52
25,28.5
25,28.07
25,27.58
25,27.22
25,26.37
25,26.1
25,25.58
25,25.51
25,25.33
25,25.32
25,25.32
25,25.32
25,25.32
25,24.85
25,24.24
25,24.18
25,24.17
25,23.98
25,23.75
25,23.61
25,23.4
